Judul,URL,Waktu_Update
"Pasien Sembuh Meningkat Hingga Melebihi 3,3 Juta Orang",https://covid19.go.id/p/berita/pasien-sembuh-meningkat-hingga-melebihi-33-juta-orang,"Min, 15 Agu 2021 19:45:14 +0700"
Data Vaksinasi COVID-19 (Update per 15 Agustus 2021),https://covid19.go.id/p/berita/data-vaksinasi-covid-19-update-15-agustus-2021,"Min, 15 Agu 2021 18:20:45 +0700"
"Grafik Kasus Aktif, Kasus Sembuh dan Kasus Meninggal per Provinsi (Update per 15 Agustus 2021)",https://covid19.go.id/p/berita/grafik-kasus-aktif-kasus-sembuh-dan-kasus-meninggal-provinsi-update-15-agustus-2021,"Min, 15 Agu 2021 17:24:34 +0700"
"Grafik Kasus Aktif, Kasus Sembuh dan Kasus Meninggal per Provinsi (Update per 14 Agustus 2021)",https://covid19.go.id/p/berita/grafik-kasus-aktif-kasus-sembuh-dan-kasus-meninggal-provinsi-update-14-agustus-2021,"Sab, 14 Agu 2021 17:55:16 +0700"
Pasien Sembuh Bertambah Mencapai 3.321.598 Orang,https://covid19.go.id/p/berita/pasien-sembuh-bertambah-mencapai-3321598-orang,"Sab, 14 Agu 2021 03:59:16 +0700"
Tahap Ke-36: Indonesia Terima 5 Juta Dosis Vaksin Jadi COVID-19 Sinovac (13 Agustus 2021),https://covid19.go.id/p/berita/tahap-ke-36-indonesia-terima-5-juta-dosis-vaksin-jadi-covid-19-sinovac-13-agustus-2021,"Jum, 13 Agu 2021 19:36:28 +0700"
"Grafik Kasus Aktif, Kasus Sembuh dan Kasus Meninggal per Provinsi (Update per 13 Agustus 2021)",https://covid19.go.id/p/berita/grafik-kasus-aktif-kasus-sembuh-dan-kasus-meninggal-provinsi-update-13-agustus-2021,"Jum, 13 Agu 2021 17:31:11 +0700"
"Kedatangan Tahap ke-36, Lima Juta Vaksin Jadi Tiba di Tanah Air",https://covid19.go.id/p/berita/kedatangan-tahap-ke-36-lima-juta-vaksin-jadi-tiba-di-tanah-air,"Jum, 13 Agu 2021 14:55:54 +0700"
